Record Length,Analog:10000000
Sample Rate,5000000.0
Vertical Scale,CH1:+1.000000E+001
Vertical Offset,CH1:-4.066666E+001
Horizontal Scale,+2.000000E-001
Second,Volt,
-1.978644E-001,+4.583308E-001,
-1.978642E-001,+4.166641E-001,
-1.978640E-001,+3.958308E-001,
-1.978638E-001,+4.583308E-001,
-1.978636E-001,+4.791641E-001,
-1.978634E-001,+4.166641E-001,
-1.978632E-001,+4.583308E-001,
-1.978630E-001,+4.374975E-001,
-1.978628E-001,+3.958308E-001,
-1.978626E-001,+4.583308E-001,
-1.978624E-001,+4.166641E-001,
-1.978622E-001,+4.166641E-001,
-1.978620E-001,+4.583308E-001,
-1.978618E-001,+4.583308E-001,
-1.978616E-001,+4.583308E-001,
-1.978614E-001,+4.583308E-001,
-1.978612E-001,+4.374975E-001,
-1.978610E-001,+3.541641E-001,
-1.978608E-001,+3.749975E-001,
-1.978606E-001,+4.374975E-001,
-1.978604E-001,+4.166641E-001,
-1.978602E-001,+4.166641E-001,
-1.978600E-001,+4.166641E-001,
-1.978598E-001,+4.166641E-001,
-1.978596E-001,+5.208308E-001,
-1.978594E-001,+3.958308E-001,
-1.978592E-001,+4.374975E-001,
-1.978590E-001,+4.166641E-001,
-1.978588E-001,+4.166641E-001,
-1.978586E-001,+4.374975E-001,
